Papilla_of_tongue	Papilla_of_the_Tongue
Mitochondrion	Mitochondrion
Aggregated_lymphoid_follicle_of_small_intestine	Peyer_s_Patch
Lipoprotein	Lipoprotein
Thoracic_ganglion	Thoracic_Ganglion
Fundus_of_gallbladder	Gallbladder_Fundus
Tarsal_plate_of_eyelid	Tarsal_Plate
Pericardiacophrenic_vein	Pericardiacophrenic_Vein
Megakaryocyte	Megakaryocyte
Parieto_occipital_sulcus	Parieto-occipital_Fissure
Parieto_occipital_sulcus	Parieto-occipital_Sulcus
Umbilical_artery	Umbilical_Artery
Axoaxonic_synapse	Axoaxonic_Synapse
Gut_associated_lymphoid_tissue	Gut_Associated_Lymphoid_Tissue
Radial_nerve	Radial_Nerve
Cranial	Cranial
Nodular_lymphoid_tissue	Lymphoid_Follicle
Outer_segment_of_rod_cell	Rod_Outer_Segment
Glutamine	Glutamine
Wall_of_prostatic_duct	Wall_of_Human_Prostatic_Duct
Roof_of_fourth_ventricle	Roof_of_the_Fourth_Ventricle
Tract_of_spinal_cord	Spinal_Cord_Tract
Parietal_pleura	Parietal_Pleura
Gonadotroph	Gonadotroph_Cell
Gonadotroph	Gonadotrope_Cell
Lateral_cerebellomedullary_cistern	Inferior_Cerebellopontine_Cistern
Secretin	Secretin
Anterior_jugular_vein	Anterior_Jugular_Vein
Vestibular_nerve	Vestibular_Nerve
Inferior_hypophysial_artery	Inferior_Hypophyseal_Artery
Metatarsal_bone	Metatarsal_Bone
Mediastinal_lymph_node	Mediastinal_Lymph_Node
Fundus_of_stomach	Fundus_of_the_Stomach
Patella	Patella
Microtubule_triplet	Microtubule_Triplet
Hilum	Hilum
Dura_mater	Dura_Mater
Blastocyst	Blastocyst
External_iliac_artery	External_Iliac_Artery
Chromaffin_cell	Chromaffin_Cell
Spinal_ganglion	Dorsal_Root_Ganglion
Set_of_phalanges_of_hand	Hand_Phalanx
Set_of_phalanges_of_hand	Phalanx_of_the_Hand
Pectoral_girdle	Shoulder_Girdle
Interstitial_cell_of_Leydig	Leydig_Cell
Left_brachiocephalic_vein	Left_Innominate_Vein
Left_brachiocephalic_vein	Left_Brachiocephalic_Vein
Anal_column	Anal_Column
Lacrimal_canaliculus	Lacrimal_Canaliculus
Bile	Bile
Supra_orbital_vein	Supra-orbital_Vein
Blastomere	Embryonic_Cell
Blastomere	Blastomere
Levator_palpebrae_superioris	Levator_Palpebrae_Superioris
Anal_canal	Anal_Canal
Greater_trochanter	Great_Trochanter
Middle_cerebral_artery	Middle_Cerebral_Artery
Nerve_plexus	Nerve_Plexus
Teres_major	Teres_Major_Muscle
Ependymal_cell	Ependymocyte
Ependymal_cell	Ependymal_Cell
Tooth	Tooth
Ejaculatory_duct	Ejaculatory_Duct
Postcentral_sulcus	Postcentral_Sulcus
Salpingopharyngeus	Salpingopharyngeus
Cerebral_aqueduct	Cerebral_Aqueduct
Cerebral_aqueduct	Aqueduct_of_Sylvius
Basal_lamina	Basal_Lamina
Endometrial_stroma	Endometrial_Stroma
Hip_bone	Pelvic_Bone
Histamine	Histamine
Adherens_junction	Anchoring_Junction
Adherens_junction	Zonula_Adherens
Appendix	Vermiform_Appendix
Hypothalamus	Hypothalamus
Branch_of_ulnar_artery	Ulnar_Artery_Branch
Orifice_of_auditory_tube	Orifice_of_the_Eustachian_Tube
Internal_jugular_vein	Internal_Jugular_Vein
Mesothelial_cell_of_pleura	Pleural_Mesothelial_Cell
Lower_lobe_of_right_lung	Lower_Lobe_of_the_Right_Lung
Cranial_nerve	Cranial_Nerve
Anus	Anus
Elastin_fiber	Elastin_Fiber
Smooth_muscle_cell	Smooth_Muscle_Tissue_Cell
Fovea_centralis	Fovea_Centralis
Twelfth_thoracic_vertebra	T12_Vertebra
Macula_lutea	Macula
Macula_lutea	Macula_Lutea
Bone_marrow	Bone_Marrow
Hand	Hand
Chief_cell	Chief_Cell
Midbrain	Mesencephalon
Scaphoid	Scaphoid_Bone
Reticular_cell	Reticular_Cell
Osteoid	Osteoid
Third_cervical_vertebra	C3_Vertebra
Loop_of_Henle	Loop_of_Henle
Hemisphere_of_cerebellum	Hemisphere_of_the_Cerebellum
Gracilis	Gracilis
Periodontium	Periodontium
Endothelium_of_lymphatic_vessel	Lymphatic_Vessel_Endothelium
Disaccharide	Disaccharide
Elbow_joint	Elbow_Joint
Type_G_enteroendocrine_cell	G-Cell
External_supporting_cell_of_organ_of_Corti	Supporting_Cell_of_Organ_of_Corti
External_supporting_cell_of_organ_of_Corti	Outer_Supporting_Cell
Pericyte	Pericyte
Glandular_cell_of_small_intestine	Small_Intestinal_Glandular_Cell
Right_testicular_vein	Right_Spermatic_Vein
Endothelium_of_vein	Vein_Endothelium
Musculoskeletal_system	Musculoskeletal_System
Muscle_of_tongue	Tongue_Muscle
Melanocyte	Melanocyte
Late_endosome	Late_Endosome
Gamma_motor_neuron	Gamma_Motor_Neuron
Right_ventricle	Right_Ventricle
Portion_of_tissue	Tissue
Physical_state	Physical_State
Palatoglossus	Palatoglossus_Muscle
Caudal	Caudal
White_pulp_of_spleen	Splenic_White_Pulp
Left_kidney	Left_Kidney
Chondrocranium	Chondrocranium
Left	Left
Lens	Crystalline_Lens
Brachialis	Brachialis
Upper_eyelid	Upper_Eyelid
Ascending_aorta	Ascending_Aorta
Choroid_plexus_of_fourth_ventricle	Choroid_Plexus_of_the_Fourth_Ventricle
Pulmonary_acinus	Pulmonary_Acinus
Mucosa_of_large_intestine	Large_Intestinal_Mucosa
Major_histocompatibility_complex_gene	Major_Histocompatibility_Complex_Gene
Portal_lobule	Portal_Lobule
Fascia_lata	Fascia_Lata
Cricotracheal_ligament	Cricotracheal_Ligament
Extrahepatic_bile_duct	Extrahepatic_Bile_Duct
Platelet	Platelet
Maxillary_sinus	Maxillary_Sinus
Submucosa_of_bronchus	Bronchus_Submucosa
Stereocilium	Stereocilium
Neuropil	Neuropil
Thymus	Thymus
Thymus	Thymus_Gland
Anterior_cerebellar_incisure	Posterior_Supratentorial_Cistern
Branch_of_posterior_cerebral_artery	Posterior_Cerebral_Artery_Branch
Membranous_cytoplasmic_organelle	Membranous_Cytoplasmic_Organelle
Lacrimal_apparatus	Lacrimal_Apparatus
Serine	Serine
Body_of_epididymis	Body_of_the_Epididymis
Fetus	Fetus
Special_sense_organ_system	Special_Sense_Organ_System
Cement	Cementum
Joint	Joint
Joint	Arthropathy
Hepatic_portal_vein	Portal_Vein
Sural_artery	External_Sural_Artery
Actin	Actin
Inferolateral_surface_of_prostate	Inferolateral_Surface_of_the_Prostate
Sublingual_artery	Sublingual_Artery
Fusiform_gyrus	Occipital-temporal_Gyrus
Histidine	Histidine
Keratinized_squamous_cell_of_esophagus	Esophageal_Squamous_Cell
Longus_colli	Longus_Colli
Posterior_temporal_artery	Posterior_Temporal_Artery
Calcarine_sulcus	Calcarine_Sulcus
Nuclear_matrix	Nuclear_Matrix
Oropharynx	Oropharynx
Anal_part_of_perineum	Anal_Region
Common_iliac_lymph_node	Iliac_Lymph_Node
Epididymis	Epididymis
Urinary_bladder	Bladder
Efferent_ductule	Efferent_Ductule
Maxilla	Maxilla
Ductus_arteriosus	Ductus_Arteriosus
Oligodendroglia	Oligodendroglia_Cell
Anterior_surface_of_liver	Anterior_Surface_of_the_Liver
Helicotrema	Helicotrema
Posterior_meningeal_artery	Posterior_Meningeal_Artery
Fourth_sacral_vertebra	S4_Vertebra
Neck_of_urinary_bladder	Bladder_Neck
Beta_adrenergic_receptor	Beta_Adrenergic_Receptor
Mucosa_of_lower_lip	Mucosa_of_the_Lower_Lip
Flexor_carpi_ulnaris	Flexor_Carpi_Ulnaris
Orbital_sulcus	Orbital_Sulcus
Entactin	Nidogen
Superficial_fascia	Subcutis
Superficial_fascia	Superficial_Fascia
Bone_of_trapezoid	Trapezoid_Bone
Deep_circumflex_iliac_artery	Deep_Circumflex_Iliac_Artery
Sex_chromosome	Sex_Chromosome
Papillary_muscle	Papillary_Muscle
Inferior_mesenteric_vein	Inferior_Mesenteric_Vein
Bowman_s_space	Urinary_Space
Bile_duct	Bile_Duct
Musculature_of_face	Facial_Muscle
Outer_nuclear_membrane	Nuclear_Outer_Membrane
Superior_vena_cava	Superior_Vena_Cava
Rectum	Rectum
Glandular_cell_of_large_intestine	Large_Intestinal_Glandular_Cell
Granulosa_cell_of_ovary	Granulosa_Cell
Brachial_vein	Brachial_Vein
Ectocervix	Ectocervix
Right_ovary	Right_Ovary
Chondrocyte	Cartilage_Cell
Chondrocyte	Chondrocyte
Organelle	Cytoplasmic_Organelle
Cerebellum	Cerebellum
Abductor_pollicis_longus	Abductor_Pollicis_Longus
Sebaceous_gland	Sebaceous_Gland
Golgi_complex	Golgi_Apparatus
Oligodendrocyte	Oligodendroglia_Cell
Endothelial_cell	Endothelial_Cell
Head_of_epididymis	Head_of_the_Epididymis
Parametrium	Parametrium
Thoracic_part_of_esophagus	Thoracic_Esophagus
Methionine	Methionine
Diencephalon	Diencephalon
Band_cell	Band_Cell
Splenic_artery	Splenic_Artery
Sphincter_of_hepatopancreatic_ampulla	Sphincter_of_Oddi
Pulmonary_lobule	Pulmonary_Lobule
Synovial_fluid	Synovial_Fluid
Ribosome	Ribosome
Intercalated_disc	Intercalated_Disk
Basophil_cell	Basophilic_Cell
Apex_of_prostate	Apex_of_the_Prostate
Tuberculum_sellae	Tuberculum_Sellae
Dorsal_metatarsal_vein	Dorsal_Metatarsal_Vein
Renal_interstitial_cell	Renal_Interstitial_Cell
Lumbar_nerve_plexus	Lumbar_Plexus
Exocrine_gland	Exocrine_Gland
Tail_of_spermatozoon	Tail_of_the_Spermatozoon
Pupil	Pupil
Root_of_tooth	Radix_Dentis
Subclavius	Subclavius
Lower_eyelid	Lower_Eyelid
Alveolar_epithelial_cell	Alveolar_Cell
Epimysium	Epimysium
Descending_limb_of_loop_of_Henle	Descending_Limb_of_the_Henle_s_Loop
Inferior_thyroid_artery	Inferior_Thyroid_Artery
Glomerulus	Glomerulus
Fibula	Fibula
Vulva	Vulva
Myelinated_nerve_fiber	Myelinated_Nerve_Fiber
Primary_oocyte	Primary_Oocyte
Acidophil_cell	Acidophilic_Cell
Great_cardiac_vein	Great_Cardiac_Vein
Ophthalmic_nerve	Ophthalmic_Nerve
Acetabular_part_of_hip_bone	Acetabulum
Mucosa_of_small_intestine	Small_Intestinal_Mucosa
Placenta	Placenta
Solitary_tract_nuclear_complex	Solitary_Nucleus
Median_thyrohyoid_ligament	Middle_Thyrohyoid_Ligament
Tubulin	Tubulin
Vertebral_canal	Vertebral_Canal
Monocyte	Monocyte
Neutrophil	Neutrophil
Scalenus_medius	Scalenus_Medius
Centrosome	Centrosome
Blood_cell	Peripheral_Blood_Cell
Inferior_nasal_concha	Inferior_Turbinate
Nucleoporin	Nucleoporin
Oocyte	Egg
Oocyte	Oocyte
Vestibular_nucleus	Vestibular_Nucleus
Metatarsophalangeal_joint	Metatarsophalangeal_Joint
Visual_system	Visual_System
Hemopoietic_tissue	Hematopoietic_Tissue
Coronary_ligament	Coronary_Ligament
Incus	Incus
Ligament_of_liver	Liver_Ligament
Plus_end_of_microtubule	Plus_End_of_the_Microtubule
Cusp	Cusp
Tunica_intima	Tunica_Intima
Epithelium_of_oropharynx	Oropharynx_Epithelium
Right_common_iliac_artery	Right_Common_Iliac_Artery
Peritoneum	Peritoneum
Left_renal_artery	Left_Renal_Artery
Pectineus	Pectineus
Sensory_ganglion	Sensory_Ganglion
Myo_inositol	Inositol
Hippocampus	Hippocampus
Hippocampus	Cornu_Ammonis
Duct_of_epididymis	Duct_of_the_Epididymis
Fibrous_capsule_of_spleen	Bowman_s_Capsule
Fibrous_capsule_of_spleen	Splenic_Capsule
Appendicular_skeleton	Appendicular_Skeleton
Lingual_artery	Lingual_Artery
Upper_gastrointestinal_tract	Upper_Gastrointestinal_Tract
Superior_thyroid_artery	Superior_Thyroid_Artery
Volume	Publication_Volume
Volume	Volume
Submandibular_duct	Submandibular_Duct
Callosomarginal_artery	Callosomarginal_Artery
Coronary_artery	Coronary_Artery
Woven_bone	Immature_Bone
Deep_vein	Deep_Vein
Cardiovascular_system	Cardiovascular_System
Feces	Feces
Posterior_surface_of_prostate	Posterior_Surface_of_the_Prostate
Superior_vesical_artery	Superior_Vesical_Artery
Semicircular_canal	Semicircular_Canal
Layer_of_retina	Retina_Layer
Prepuce_of_clitoris	Female_Prepuce
Squamous_cell_of_ectocervix	Ectocervical_Squamous_Cell
Iliacus	Iliacus
Finger	Finger
Megakaryoblast	Megakaryoblast
Compact_bone	Cortical_Bone
Skin_of_eyelid	Eyelid_Skin
Blood_vessel	Blood_Vessel
Ciliary_process	Ciliary_Process
Prostatic_urethra	Prostatic_Portion_of_the_Male_Urethra
Peripheral_nervous_system	Peripheral_Nervous_System
Septum_pellucidum	Septum_Pellucidum
Mammotroph	Lactotrope_Cell
Fibroblast	Fibroblast
Mylohyoid	Mylohyoid
Axillary_nerve	Axillary_Nerve
Postcentral_gyrus	Postcentral_Gyrus
Longitudinal	Longitudinal
Cadherin	Cadherin
Portal_vein	Portal_Vein
Thymosin	Thymosin
Urine	Urine
Cardiac_valve	Cardiac_Valve
Abdominal_part_of_esophagus	Abdominal_Esophagus
Gland	Gland
Collateral_sulcus	Collateral_Sulcus
Collateral_sulcus	Collateral_Fissure
Viscus	Viscera
Type_2_vestibular_sensory_cell	Type_II_Hair_Cell
Mesangial_cell	Mesangial_Cell
Glomerular_capsule	Bowman_s_Capsule
Right_suprarenal_vein	Right_Suprarenal_Vein
Hip	Ischium
Hip	Hip
Uvula	Uvula
Endoneurium	Endoneurium
Intestinal_epithelium	Intestinal_Epithelium
Atlanto_occipital_joint	Atlanto-occipital_Joint
Carbohydrate	Carbohydrate
Decidua_basalis	Decidua_Basalis
Buccal_mucosa	Buccal_Mucosa
Ependyma_of_lateral_ventricle	Lateral_Ventricle_Ependyma
Thyroidea_ima_artery__variant_	Thyroid_Ima_Artery
Renal_pyramid	Renal_Pyramid
Central_sulcus	Central_Sulcus_of_Rolando
Central_sulcus	Sulcus_Centralis
Mons_pubis	Mons_Pubis
Basal_cell_of_olfactory_epithelium	Olfactory_Basal_Cell
Centromere	Centromere
External_ear	External_Ear
Trabecula_of_spleen	Splenic_Trabecula
Inferior_frontal_sulcus	Inferior_Frontal_Sulcus
Masticatory_muscle	Masseter_Muscle
Haversian_canal	Haversian_Canal
Solid	Solid
Quadrate_lobe_of_liver	Lobus_Quadratus
Heparan_sulfate_proteoglycan	Heparan_Sulfate_Proteoglycan
Lung_parenchyma	Lung_Tissue
Muscle_of_palate	Palatal_Muscle
Hepatic_vein	Hepatic_Vein
Ependyma_of_fourth_ventricle	Fourth_Ventricle_Ependyma
Perilymph	Perilymph
Synaptic_cleft	Synaptic_Cleft
Canine_tooth	Canine_Tooth
Temporal_bone	Temporal_Bone
Fourth_cervical_vertebra	C4_Vertebra
Right_cerebral_hemisphere	Right_Cerebral_Hemisphere
Hamate	Hamate_Bone
Free_ribosome	Free_Ribosome
Deep_middle_cerebral_vein	Deep_Middle_Cerebral_Vein
Surface_of_prostate	Surface_of_the_Prostate
Glandular_cell_of_esophagus	Esophageal_Glandular_Cell
Embryonic_structure	Embryonic_Structure
Bulbus_cordis	Bulbus_Cordis
Deep_brachial_artery	Superior_Profunda_Artery
Hyoglossus	Hyoglossus_Muscle
Amniotic_cavity	Amniotic_Cavity
Proximal_phalanx_of_finger	Proximal_Phalanx_of_the_Hand
Proximal_phalanx_of_finger	Proximal_Phalanx_of_Hand
Celiac_artery	Coeliac_Artery
Axis	C2_Vertebra
Olfactory_sulcus	Olfactory_Sulcus
Primitive_erythroblast	Basophilic_Erythroblast
Ligament_of_larynx	Laryngeal_Ligament
Squamous_cell_of_epidermis	Skin_Squamous_Cell
Sympathetic_nervous_system	Sympathetic_Nervous_System
Plus_end_of_actin_filament	Plus_End_of_the_Actin_Filament
Anterolateral	Anterolateral
Adenohypophysis	Anterior_Lobe_of_the_Pituitary_Gland
Adenohypophysis	Pituitary_Gland
Aspartic_acid	Aspartic_Acid
Chief_cell_of_parathyroid_gland	Parathyroid_Gland_Chief_Cell
Medial_frontobasal_artery	Medial_Orbitofrontal_Artery
Histiocyte	Histiocyte
Histiocyte	Macrophage
Splenium_of_corpus_callosum	Splenium_of_the_Corpus_Callosum
Pleura	Pleural_Tissue
Vasoactive_intestinal_peptide	Vasoactive_Intestinal_Peptide
Arcuate_nucleus_of_hypothalamus	Arcuate_Nucleus
Pronephros	Pronephros
Right_lymphatic_duct	Right_Lymphatic_Duct
Soft_palate	Soft_Palate
Set_of_neuroglial_cells	Glial_Cell
Angular_gyrus	Angular_Gyrus
Glottis	Glottis
Optic_disc	Optic_Disc
Descending_part_of_duodenum	Second_Portion_of_the_Duodenum
Cube	Cube
Embryo	Embryo
Neuroendocrine_cell	Neuroendocrine_Cell
Umbilical_fissure	Umbilical_Fissure
Peduncle_of_midbrain	Cerebral_Peduncle
Atlas	C1_Vertebra
Milk	Milk
Venule	Venule
Skeletal_muscle_tissue	Skeletal_Muscle_Tissue
Blast_cell	Blast_Cell
Spinalis_thoracis	Spinalis_Thoracis
Corticotroph	Corticotrope_Cell
Corticotroph	Corticotroph_Cell
Posterior_surface_of_liver	Posterior_Surface_of_the_Liver
Cylinder	Cylinder
First_sacral_vertebra	S1_Vertebra
Bile_canaliculus	Bile_Canaliculus
Ependyma_of_neuraxis	Ependyma
Rectus_femoris	Rectus_Femoris
Head_of_spermatozoon	Head_of_the_Spermatozoon
Central_canal_of_spinal_cord	Central_Canal
External_intercostal_muscle	External_Intercostal_Muscle
Accessory_pancreatic_duct	Ductus_Santorini
Biceps_femoris	Biceps_Femoris
Laryngeal_ventricle	Laryngeal_Ventricle
Ribosomal_ribonucleic_acid	Ribosomal_RNA
Superficial_circumflex_iliac_artery	Superficial_Circumflex_Iliac_Artery
Glucose	Hypoglycemia
Glucose	Glucose
Meningothelial_cell	Meningothelial_Cell
Acromion	Acromion
Right_atrium	Right_Atrium
Crico_arytenoid_joint	Cricoarytenoid_Joint
Branch_of_vertebral_artery	Vertebral_Artery_Branch
Canal_for_tensor_tympani	Canal_for_Tensor_Tympani
Nipple	Nipple
Cytoskeletal_protein	Cytoskeletal_Protein
Pleural_cavity	Pleural_Cavity
Carpometacarpal_joint	Carpometacarpal_Joint
Photoreceptor_cell	Photoreceptor_Cell
Superior_frontal_sulcus	Superior_Frontal_Sulcus
Extraembryonic_celom	Extraembryonic_Coelom
Median_aperture_of_fourth_ventricle	Foramen_of_Magendie
Ectoderm	Ectoderm
Anterior_surface_of_kidney	Anterior_Surface_of_the_Kidney
Jejunum	Jejunum
Anterior_pole_of_lens	Anterior_Pole_of_the_Lens
Giant_cell	Giant_Cell
Giant_cell	Giant_Cell_Carcinoma
Unencapsulated_nerve_ending	Free_Nerve_Ending
Long_bone	Long_Bone
Nongranular_leukocyte	Non-Granular_Leukocyte
Cavernous_sinus	Cavernous_Sinus
Canal_of_Volkmann	Perforating_Canal
Acinar_cell	Acinar_Cell
Phalanx_of_toe	Phalanx_of_the_Foot
Phalanx_of_toe	Foot_Phalanx
Caudate_lobe_of_liver	Lobus_Caudatus
Processus_cochleariformis	Processus_Cochleariformis
Ulnar_artery	Ulnar_Artery
Islet_cell	Islet_Cell
Amino_acid	Amino_Acid
Amino_acid	Amino_Acid_Peptide_or_Protein
Lamina_propria	Lamina_Propria
Trochanter	Trochanter
Intercalated_cell_of_collecting_duct_of_renal_tubule	Type_I_Cell
Intercalated_cell_of_collecting_duct_of_renal_tubule	Intercalated_Cell
Ductus_venosus	Ductus_Venosus
Stylopharyngeus	Stylopharyngeus
Endothelium_of_artery	Artery_Endothelium
Cheek	Cheek
Faceted_volume	Polyhedron
Cerebral_cortex	Cortex
Bone_of_radius	Radius_Bone
Guanine	Guanine
Enterocyte	Enterocyte
Pancreatic_acinus	Pancreatic_Acinus
Cell_morphology	Cellular_Morphology
Interleukin_12B	Interleukin-12B
Interleukin_12A	Interleukin-12A
Eyelash	Eyelash
Forebrain	Fore-Brain
Forebrain	Prosencephalon
Esophageal_gland	Esophageal_Gland
Pharyngeal_tonsil	Pharyngeal_Tonsil
Trigone_of_urinary_bladder	Bladder_Trigone
Body_surface	Body_Surface
Branch_of_anterior_cerebral_artery	Anterior_Cerebral_Artery_Branch
Goblet_cell_of_small_intestine	Small_Intestinal_Goblet_Cell
Surface	Surface
Posterior_communicating_artery	Posterior_Communicating_Artery
Second_sacral_vertebra	S2_Vertebra
Space_of_Mall	Space_of_Mall
Superficial_cervical_artery	Superficial_Cervical_Artery
Esophagogastric_junction	Gastroesophageal_Junction
Zygomatic_arch	Zygomatic_Arch
Corpus_callosum	Corpus_Callosum
Peripheral_blood_mononuclear_cell	Peripheral_Blood_Mononuclear_Cell
Sesamoid_bone	Sesamoid_Bone
Commissure	Commissure
Portion_of_epithelium	Epithelium
Portion_of_epithelium	Epithelial_Tissue
Pinealocyte	Pinealocyte
T_lymphocyte	Helper-Inducer_T-Lymphocyte
T_lymphocyte	T-Lymphocyte
Transitional_epithelium_of_urinary_bladder	Bladder_Transitional_Cell_Epithelium
Posterior_limiting_lamina_of_cornea	Descemet_s_Membrane
Mesonephros	Mesonephros
Right_lobe_of_thyroid_gland	Right_Thyroid_Gland_Lobe
Keratinized_cell_of_epidermis	Keratinocyte
Triangular_ligament	Triangular_Ligament
Pancreatic_islet	Islet_of_Langerhans
Prostatic_duct	Prostatic_Duct
Deep_lymphatic_vessel	Deep_Lymphatic_Vessel
Sella_turcica	Sella_Turcica
Phosphatidylserine	Phosphatidylserine
Mucosa_of_stomach	Gastric_Mucosa
Cephalic_vein	Cephalic_Vein
Cochlea	Cochlea
Lateral_lobe_of_prostate	Lateral_Lobe_of_the_Prostate
Ileum	Ileum
Great_cerebral_vein	Great_Cerebral_Vein_of_Galen
Small_saphenous_vein	Short_Saphenous_Vein
Interphase_chromosome	Interphase_Chromosome
Unipolar_neuron	Unipolar_Neuron
Spinal_cord	Spinal_Cord
Apex_of_tongue	Apex_of_the_Tongue
Female_breast	Female_Breast
Abdominal_cavity	Abdominal_Cavity
Parietal_bone	Parietal_Bone
Palpebral_conjunctiva	Palpebral_Conjunctiva
Ileal_diverticulum	Meckel_Diverticulum
Protein	Protein
Protein	Protein_Organized_by_Function
Posterior_surface_of_stomach	Posterior_Surface_of_the_Stomach
Thymine	Thymine
Nucleus_of_solitary_tract	Nucleus_of_the_Solitary_Tract
Nuclear_lamin	Nuclear_Lamin
Plasma_cell	Plasma_Cell
Capsule_of_parathyroid_gland	Parathyroid_Gland_Capsule
Left_testicular_artery	Left_Spermatic_Artery
Secretory_cell	Secretory_Cell
Extracellular_space	Extracellular_Space
Metaphysis	Metaphysis
Adipocyte	Adipocyte
Adipocyte	Lipocyte
Nucleoplasm	Nucleoplasm
Crest	Crest
Crest	Ridge
Mandibular_nerve	Inferior_Maxillary_Nerve
Eyelid	Eyelid
Pyloric_sphincter	Pyloric_Sphincter
Buccal_artery	Buccal_Artery
Splenial_artery	Splenial_Artery
Fibrillar_actin	F-actin
Motor_neuron	Motor_Neuron
Suppressor_inducer_T_lymphocyte	Suppressor-Inducer_T-Lymphocyte
Palate	Palate
Cardiac_vein	Cardiac_Vein
Middle_cranial_fossa	Middle_Fossa
Ribonucleic_Acid	Ribonucleic_Acid
Suprarenal_vein	Suprarenal_Vein
Fourth_thoracic_vertebra	T4_Vertebra
T_cytotoxic_cell	Cytotoxic_T-Lymphocyte
Cellulose	Cellulose
Dermis	Dermis
Melatonin	Therapeutic_Melatonin
Melatonin	Melatonin
Basement_membrane	Basement_Membrane
Costal_arch	Costal_Arch
Popliteal_lymph_node	Popliteal_Lymph_Node
Lymph	Lymph
Cilium	Cilium
Gonad	Gonad
Oculomotor_nuclear_complex	Oculomotor_Nucleus
Follicular_cell_of_ovary	Follicular_Ovarian_Cell
Lamina_lucida	Lamina_Lucida
Common_carotid_artery	Carotid_Artery
Common_carotid_artery	Common_Carotid_Artery
Internal_carotid_nerve_plexus	Internal_Carotid_Nerve_Plexus
Cauda_equina	Cauda_Equina
Myofilament	Myofilament
Biliary_system	Biliary_Tract
Male_breast	Male_Breast
Isthmus_of_thyroid_gland	Thyroid_Gland_Isthmus
Iliolumbar_artery	Iliolumbar_Artery
Superior_anastomotic_vein	Superior_Anastomotic_Vein_of_the_Trolard
Eighth_thoracic_vertebra	T8_Vertebra
Cystic_vein	Cystic_Vein
Subscapular_artery	Subscapular_Artery
Nonsynovial_joint	Synarthrosis
Nuclear_pore_complex	Nuclear_Pore_Complex
Corneal_endothelium	Corneal_Endothelium
Portion_of_connective_tissue	Connective_Tissue_Disorder
Portion_of_connective_tissue	Connective_Tissue
Anterior_semicircular_canal	Superior_Semicircular_Canal
Ischiocavernosus	Ischiocavernosus
Lingual_salivary_gland	Lingual_Salivary_Gland
Renal_papilla	Renal_Papilla
Substantia_gelatinosa	Substantia_Gelatinosa
Peroneal_artery	Peroneal_Artery
Inferior_temporal_sulcus	Inferior_Temporal_Sulcus
Sphenoparietal_sinus	Sphenoparietal_Sinus
Chiasmatic_cistern	Chiasmatic_Cistern
Submucosa_of_small_intestine	Small_Intestinal_Submucosa
Second_thoracic_vertebra	T2_Vertebra
Somatic_nerve_plexus	Spinal_Nerve_Plexus
Primary_tooth	Temporary_Tooth
Lunate_sulcus	Lunate_Sulcus
