Anterior_longitudinal_ligament	Anterior_Longitudinal_Ligament	anterior longitudinal ligament
Thyroidea_ima_artery__variant_	Thyroid_Ima_Artery	thyroid ima artery
Renal_pyramid	Renal_Pyramid	renal pyramid
Trabecula_of_spleen	Splenic_Trabecula	splenic trabecula
Haversian_canal	Haversian_Canal	haversian canal
Heparan_sulfate_proteoglycan	Heparan_Sulfate_Proteoglycan	hspg
Muscle_of_palate	Palatal_Muscle	palatal muscle
Hepatic_vein	Hepatic_Vein	hepatic vein
Synaptic_cleft	Synaptic_Cleft	synaptic cleft
Canine_tooth	Canine_Tooth	canine tooth
Temporal_bone	Temporal_Bone	temporal bone
Fourth_cervical_vertebra	C4_Vertebra	cervical iv vertebra
Free_ribosome	Free_Ribosome	free ribosome
Deep_middle_cerebral_vein	Deep_Middle_Cerebral_Vein	deep middle cerebral vein
Glandular_cell_of_esophagus	Esophageal_Glandular_Cell	esophageal glandular cell
Bulbus_cordis	Bulbus_Cordis	bulbus cordis
Amniotic_cavity	Amniotic_Cavity	amniotic cavity
Chief_cell_of_parathyroid_gland	Parathyroid_Gland_Chief_Cell	parathyroid gland chief cell
Set_of_neuroglial_cells	Glial_Cell	glia
Neuroendocrine_cell	Neuroendocrine_Cell	neuroendocrine cell
Skeletal_muscle_tissue	Skeletal_Muscle_Tissue	skeletal muscle tissue
Bile_canaliculus	Bile_Canaliculus	bile canaliculus
Rectus_femoris	Rectus_Femoris	rectus femoris
External_intercostal_muscle	External_Intercostal_Muscle	external intercostal muscle
Biceps_femoris	Biceps_Femoris	biceps femoris
Cytoskeletal_protein	Cytoskeletal_Protein	cytoskeletal protein
Carpometacarpal_joint	Carpometacarpal_Joint	carpometacarpal joint
Extraembryonic_celom	Extraembryonic_Coelom	extraembryonic coelom
Giant_cell	Giant_Cell	giant cell
Unencapsulated_nerve_ending	Free_Nerve_Ending	free nerve ending
Acinar_cell	Acinar_Cell	acinar cell
Processus_cochleariformis	Processus_Cochleariformis	processus cochleariformis
Islet_cell	Islet_Cell	islet cell
Lamina_propria	Lamina_Propria	lamina propria
Intercalated_cell_of_collecting_duct_of_renal_tubule	Intercalated_Cell	intercalated cell
Ductus_venosus	Ductus_Venosus	ductus venosus
Cell_morphology	Cellular_Morphology	cell morphology
Interleukin_12B	Interleukin-12B	interleukin iiib
Esophageal_gland	Esophageal_Gland	esophageal gland
Goblet_cell_of_small_intestine	Small_Intestinal_Goblet_Cell	small intestinal goblet cell
Space_of_Mall	Space_of_Mall	space of mall
Superficial_cervical_artery	Superficial_Cervical_Artery	superficial cervical artery
Esophagogastric_junction	Gastroesophageal_Junction	gastroesophageal junction
Zygomatic_arch	Zygomatic_Arch	zygoma
Corpus_callosum	Corpus_Callosum	corpus callosum
Triangular_ligament	Triangular_Ligament	triangular ligament
Deep_lymphatic_vessel	Deep_Lymphatic_Vessel	deep lymphatic vessel
Sella_turcica	Sella_Turcica	sella turcica
Cephalic_vein	Cephalic_Vein	cephalic vein
Interphase_chromosome	Interphase_Chromosome	interphase chromosome
Unipolar_neuron	Unipolar_Neuron	unipolar neuron
Parietal_bone	Parietal_Bone	parietal bone
Ileal_diverticulum	Meckel_Diverticulum	meckel s diverticulum
Nuclear_lamin	Nuclear_Lamin	nuclear lamin
Secretory_cell	Secretory_Cell	secretory cell
Pyloric_sphincter	Pyloric_Sphincter	pyloric sphincter
Buccal_artery	Buccal_Artery	buccal artery
Splenial_artery	Splenial_Artery	splenial artery
Suppressor_inducer_T_lymphocyte	Suppressor-Inducer_T-Lymphocyte	suppressor inducer t lymphocyte
Cardiac_vein	Cardiac_Vein	cardiac vein
Ribonucleic_Acid	Ribonucleic_Acid	rna
Suprarenal_vein	Suprarenal_Vein	suprarenal vein
Popliteal_lymph_node	Popliteal_Lymph_Node	popliteal lymph node
Common_carotid_artery	Carotid_Artery	carotid artery
Cauda_equina	Cauda_Equina	cauda equina
Male_breast	Male_Breast	male breast
Superior_anastomotic_vein	Superior_Anastomotic_Vein_of_the_Trolard	superior anastomotic vein of trolard
Cystic_vein	Cystic_Vein	cystic vein
Corneal_endothelium	Corneal_Endothelium	corneal endothelium
Lingual_salivary_gland	Lingual_Salivary_Gland	lingual salivary gland
Substantia_gelatinosa	Substantia_Gelatinosa	substantia gelatinosa
Sphenoparietal_sinus	Sphenoparietal_Sinus	sphenoparietal sinus
Eleventh_thoracic_vertebra	T11_Vertebra	thoracic ii vertebra
Primary_tooth	Temporary_Tooth	deciduous tooth
Ninth_thoracic_vertebra	T9_Vertebra	t9 vertebra
Muscle_cell	Muscle_Cell	myocyte
Left_renal_vein	Left_Renal_Vein	left renal vein
Pseudostratified_columnar_epithelium	Pseudostratified_Columnar_Epithelium	pseudostratified columnar epithelium
Superficial_vein	Superficial_Vein	superficial vein
Eotaxin_3	CCL26_Gene	cclumbar iivi
Lateral_thyrohyoid_ligament	Lateral_Thyrohyoid_Ligament	lateral thyrohyoid ligament
CC_chemokine	Beta_Chemokine	cc chemokine
Bone_marrow_stem_cell	Bone_Marrow_Stem_Cell	bone marrow stem cell
Interstitial_cell	Interstitial_Cell	interstitial cell
Surface_ectoderm	Surface_Ectoderm	surface ectoderm
Electrical_synapse	Electrical_Synapse	electrical synapse
Sacral_vertebra	Sacral_Vertebra	sacral vertebra
Internal_thoracic_vein	Internal_Thoracic_Vein	internal thoracic vein
Glucuronic_acid	Glucuronic_Acid	glucuronic acid
Trachea	Trachea	windpipe
Extensor_carpi_radialis_brevis	Extensor_Carpi_Radialis_Brevis	extensor carpi radialis brevis
Brachial_artery	Brachial_Artery	brachial artery
Totipotent_neuroepithelial_stem_cell	Totipotent_Neuroepithelial_Stem_Cell	totipotent neuroepithelial stem cell
Renal_tubule	Renal_Tubule	renal tubule
Anterior_communicating_artery	Anterior_Communicating_Artery	anterior communicating artery
Argentaffin_cell	Argentaffin_Cell	argentaffin cell
Cortex_of_thymus	Thymus_Cortex	thymus cortex
Right_hypochondrium	Right_Hypochondriac_Region	right hypochondriac region
Nissl_body	Nissl_Body	nissl body
Skin_of_leg	Leg_Skin	leg skin
Portal_venous_system	Portal_Venous_System	portal venous system
Gallbladder	Gallbladder	gall bladder
Anterior_tibial_vein	Anterior_Tibial_Vein	anterior tibial vein
Masseteric_vein	Masseteric_Vein	masseteric vein
Longissimus_capitis	Longissimus_Capitis	longissimus capitis
Surface_of_cell	Cell_Surface	cell surface
Alpha_adrenergic_receptor	Alpha_Adrenergic_Receptor	alpha adrenergic receptor
Elastic_fiber	Elastic_Fiber	elastic fiber
Right_lung	Right_Lung	right lung
Gluteus_medius	Gluteus_Medius	gluteus medius
Lymphatic_system	Lymphatic_System	lymphatic system
Histone_H2A	Histone-H2A	histone hiia
Actin_filament	Actin_Filament	actin filament
Submandibular_gland	Submandibular_Gland	submandibular gland
Langerhans_cell	Langerhans_Cell	langerhans cell
Set_of_duodenal_glands	Brunner_s_Gland	brunner s glands
Ascending_colon	Ascending_Colon	ascending colon
Alveolar_sac	Alveolar_Sac	alveolar sac
Intercarpal_joint	Carpal_Joint	carpal joint
Upper_jaw	Upper_Jaw	upper jaw
Skin_of_wrist	Wrist_Skin	wrist skin
Crypt_of_Lieberkuhn_of_small_intestine	Small_Intestinal_Crypt_of_Lieberkuhn	small intestinal crypt of lieberkuhn
Extensor_carpi_radialis_longus	Extensor_Carpi_Radialis_Longus	extensor carpi radialis longus
Axodendritic_synapse	Axodendritic_Synapse	axodendritic synapse
Lumbar_artery	Lumbar_Artery	lumbar artery
Keratin_filament	Keratin_Filament	keratin filament
Hepatogastric_ligament	Hepatogastric_Ligament	hepatogastric ligament
Embryonic_stem_cell	Embryonic_Stem_Cell	embryonic stem cell
Endothelium_of_capillary	Capillary_Endothelium	capillary endothelium
Decidua_capsularis	Decidua_Capsularis	decidua capsularis
Tendinous_cuff	Rotator_Cuff	rotator cuff
Episcleral_layer_of_eyeball	Episclera	episcleral layer
Flexor_carpi_radialis	Flexor_Carpi_Radialis	flexor carpi radialis
Cerebral_white_matter	Cerebral_White_Matter	cerebral white matter
Striated_border	Striated_Border	striated border
Occipital_artery	Occipital_Artery	occipital artery
Zygomaticus_major	Zygomaticus_Major	zygomaticus major
Left_lung	Left_Lung	left lung
Fenestrated_capillary	Fenestrated_Capillary	fenestrated capillary
Lower_jaw	Lower_Jaw	lower jaw
Muscle_spindle	Muscle_Spindle	muscle spindle
Type_I_cell_of_carotid_body	Glomus_Cell	glomus cell
Ciliated_columnar_cell_of_tracheobronchial_tree	Ciliated_Bronchial_Epithelial_Cell	ciliated bronchial epithelial cell
Peptide_hormone	Peptide_Hormone	peptide hormone
Ileocecal_valve	Ileocecal_Valve	ileocecal valve
Cricothyroid_ligament	Cricothyroid_Ligament	cricothyroid ligament
Foramen_secundum	Foramen_Secundum	foramen secundum
Crus_of_helical_part_of_auricular_cartilage	Crus_Helicis	crus helicis
Ileal_vein	Ileal_Vein	ileal vein
Lateral_ventricle	Lateral_Ventricle	lateral ventricle
Amygdala	Amygdaloid_Body	amygdaloid nucleus
Nephrogenic_cord	Nephrogenic_Cord	nephrogenic cord
Set_of_bronchi	Bronchus	bronchi
Posterior_tibial_vein	Posterior_Tibial_Vein	posterior tibial vein
Medial_forebrain_bundle	Medial_Forebrain_Bundle	medial forebrain bundle
Juxtaglomerular_cell	Juxtaglomerular_Cell	juxtaglomerular cell
Cerebellopontine_angle	Cerebellopontine_Angle	cerebellopontine angle
Thyroid_follicular_cell	Thyroid_Gland_Follicular_Cell	thyroid gland follicular cell
Bone_tissue	Bone_Tissue	bone tissue
Bronchial_tree	Bronchial_Tree	bronchial tree
Middle_ear	Middle_Ear	middle ear
Ascending_limb_of_loop_of_Henle	Ascending_Limb_of_the_Henle_s_Loop	ascending limb of henle s loop
Axillary_lymph_node	Axillary_Lymph_Node	axillary lymph node
Thyro_epiglottic_ligament	Thyroepiglottic_Ligament	thyroepiglottic ligament
Deep_temporal_vein	Deep_Temporal_Vein	deep temporal vein
Histone_H3	Histone-H3	histone hiii
Foam_cell	Foam_Cell	foam cell
Histone_H4	Histone-H4	histone hiv
Capsule_of_lens	Lens_Capsule	lens capsule
Stomatognathic_system	Stomatognathic_System	stomatognathic system
Inferior_vena_cava	Inferior_Vena_Cava	inferior vena cava
Polychromatophilic_erythroblast	Polychromatophilic_Erythroblast	polychromatophilic erythroblast
Olfactory_receptor_cell	Olfactory_Cell	olfactory receptor cell
Hair_root	Hair_Root	hair root
Labium_minus	Labium_Minus	labium minus
Superior_thoracic_artery	Superior_Thoracic_Artery	superior thoracic artery
Fifth_lumbar_vertebra	L5_Vertebra	lumbar v vertebra
Nucleus_ambiguus	Nucleus_Ambiguus	nucleus ambiguus
Posterior_external_jugular_vein	Posterior_External_Jugular_Vein	posterior external jugular vein
Sigmoid_artery	Sigmoid_Artery	sigmoid artery
Actin_binding_protein	Actin-Binding_Protein	actin binding protein
Sarcoplasmic_reticulum	Sarcoplasmic_Reticulum	sarcoplasmic reticulum
Hyaline_cartilage	Hyaline_Cartilage	hyaline cartilage
Dopamine_receptor	Dopamine_Receptor	dopamine receptor
Vastus_lateralis	Vastus_Lateralis	vastus lateralis
Deoxyribonucleic_acid	Deoxyribonucleic_Acid	dna
Epithelium_of_trachea	Tracheal_Epithelium	tracheal epithelium
Common_iliac_artery	Common_Iliac_Artery	common iliac artery
Sinus_venosus	Sinus_Venosus	sinus venosus
Squamous_cell	Squamous_Cell	squamous cell
Bulbar_conjunctiva	Bulbar_Conjunctiva	bulbar conjunctiva
Left_uterine_tube	Left_Fallopian_Tube	left fallopian tube
Left_hepatic_duct	Left_Hepatic_Duct	left hepatic duct
Olfactory_trigone	Trigonum_Olfactorium	trigonum olfactorium
Atlanto_axial_joint	Atlanto-axial_Joint	atlanto axial joint
Auditory_ossicle	Auditory_Ossicle	auditory ossicle
Collagen_fibril	Collagen_Fibril	collagen fibril
Neural_crest_cell	Neural_Crest_Cell	neural crest cell
Tuber_cinereum	Tuber_Cinereum	tuber cinereum
Cartilage_of_external_ear	External_Ear_Cartilage	external ear cartilage
Nerve_root	Nerve_Root	nerve root
Inferior_suprarenal_artery	Inferior_Suprarenal_Artery	inferior suprarenal artery
Pancreatic_tributary_of_splenic_vein	Pancreatic_Vein	pancreatic vein
Cell_to_matrix_adherens_junction	Cell-to-extracellular_Matrix_Junction	cell to extracellular matrix junction
Alveolar_macrophage	Alveolar_Macrophage	alveolar macrophage
Histone_H1	Histone-H1	histone hi
Endothelium_of_venule	Venule_Endothelium	venule endothelium
Transitional_cell	Transitional_Cell	transitional cell
Phrenic_artery	Phrenic_Artery	phrenic artery
Embryonic_tissue	Embryonic_Tissue	embryonic tissue
Pelvic_girdle	Pelvic_Girdle	pelvic girdle
Set_of_pancreatic_islets	Islet_of_Langerhans	islets of langerhans
Right_renal_artery	Right_Renal_Artery	right renal artery
Elastic_cartilage	Elastic_Cartilage	elastic cartilage
Exocrine_system	Exocrine_System	exocrine system
Synovial_bursa	Synovial_Bursa	synovial bursa
Hyoid_bone	Hyoid_Bone	hyoid bone
Messenger_ribonucleic_acid	Messenger_RNA	messenger rna
Splenic_cord	Splenic_Cord	splenic cord
Postcapillary_venule	Postcapillary_Venule	postcapillary venule
Brush_cell	Brush_Cell	brush cell
Lentiform_nucleus	Lentiform_Nucleus	lentiform nucleus
Superior_temporal_gyrus	Superior_Temporal_Gyrus	superior temporal gyrus
Parasympathetic_nervous_system	Parasympathetic_Nervous_System	parasympathetic nervous system
Special_sense_organ	Organ_of_the_Special_Sense	special sense organ
Right_kidney	Right_Kidney	right kidney
Erector_spinae_muscle_group	Erector_Spinae	erector spinae
Talocalcaneal_joint	Subtalar_Joint	subtalar joint
Mesodermal_cell	Mesoderm_Cell	mesodermal cell
Gamma_tubulin	Gamma-Tubulin	gamma tubulin
Ligamentum_flavum	Ligamentum_Flavum	ligamentum flavum
Lobe_of_thyroid_gland	Thyroid_Gland_Lobe	thyroid gland lobe
Lateral_thoracic_artery	Lateral_Thoracic_Artery	lateral thoracic artery
Sacral_nerve_plexus	Sacral_Plexus	sacral plexus
Submandibular_ganglion	Submandibular_Ganglion	submandibular ganglion
Striated_muscle_cell	Striated_Muscle_Tissue_Cell	striated muscle cell
Subsegmental_bronchus	Subsegmental_Bronchus	subsegmental bronchus
Corpus_luteum	Corpus_Luteum	corpus luteum
Steroid_hormone	Steroid_Hormone	steroid hormone
Secretion_of_seminal_vesicle	Seminal_Vesicle_Secretion	seminal vesicle secretion
Anterior_tibial_artery	Anterior_Tibial_Artery	anterior tibial artery
Tensor_tympani	Tensor_Tympani	tensor tympani
Root_canal_of_tooth	Canalis_Radicis_Dentis	canalis radicis dentis
Lateral_frontobasal_artery	Lateral_Orbitofrontal_Artery	lateral orbitofrontal artery
Triquetral	Triangular_Bone	triangular bone
Palatine_tonsil	Palatine_Tonsil	palatine tonsil
Skin_of_arm	Arm_Skin	arm skin
Right_subclavian_artery	Right_Subclavian_Artery	right subclavian artery
Tonsillar_crypt	Tonsillar_Crypt	tonsillar crypt
Longus_capitis	Longus_Capitis	longus capitis
Set_of_ligaments	Ligament	ligaments
Deferent_duct	Vas_Deferens	vas deferens
Vocal_fold	Vocal_Cord	vocal cord
Schwann_cell	Schwann_Cell	schwann cell
Vertebral_column	Vertebral_Column	spine
Piriform_fossa	Pyriform_Sinus	piriform sinus
Third_ventricle	Third_Ventricle_of_Brain	third ventricle
External_jugular_vein	External_Jugular_Vein	external jugular vein
Y_chromosome	Chromosome_Y	y chromosome
Anterior_inferior_cerebellar_artery	Anterior_Inferior_Cerebellar_Artery	anterior inferior cerebellar artery
Hepatic_artery	Hepatic_Artery	hepatic artery
Epithelioid_cell	Epithelioid_Cell	epithelioid cell
Precentral_sulcus	Precentral_Sulcus	precentral sulcus
Transitional_epithelium	Transitional_Epithelium	transitional epithelium
Pectoralis_major	Pectoralis_Major	musculus pectoralis major
Sigmoid_colon	Sigmoid_Colon	sigmoid colon
Prepuce_of_penis	Prepuce	preputium penis
Arachnoid_villus	Arachnoid_Villus	arachnoid villus
Hard_palate	Hard_Palate	hard palate
Juxtaglomerular_complex	Juxtaglomerular_Apparatus	juxtaglomerular apparatus
Striated_muscle_tissue	Striated_Muscle_Tissue	striated muscle tissue
Thyroid_cartilage	Thyroid_Cartilage	thyroid cartilage
Primary_ossification_center	Primary_Ossification_Center	primary ossification center
Gastric_foveola	Gastric_Pit	gastric foveola
Short_bone	Short_Bone	short bone
Paranasal_sinus	Paranasal_Sinus_Retired	paranasal sinus
Sacral_nerve	Sacral_Nerve	sacral nerve
Skin_of_neck	Neck_Skin	neck skin
Interventricular_foramen	Interventricular_Foramen	interventricular foramen
Internal_cerebral_vein	Internal_Cerebral_Vein	internal cerebral vein
Transport_vesicle	Transport_Vesicle	transport vesicle
Linker_DNA	Linker_DNA	linker dna
Temporal_artery	Temporal_Artery	temporal artery
Anal_gland	Anal_Gland	anal gland
Nasal_mucus	Nasal_Mucus	nasal mucus
Keratan_sulfate	Keratan_Sulfate	keratan sulfate
Structural_gene	Structural_Gene	structural gene
Right_hepatic_duct	Right_Hepatic_Duct	right hepatic duct
Prostatic_stroma	Prostatic_Stroma	prostatic stroma
Ankle_joint	Ankle_Joint	ankle joint
Interstitial_cell_of_Cajal	Interstitial_Cell_of_Cajal	interstitial cell of cajal
Perianal_skin	Anal_Margin	perianal skin
Crypt_of_Lieberkuhn	Crypts_of_the_Lieberkuhn	crypt of lieberkuhn
Glandular_cell	Glandular_Cell	glandular cell
Left_ovary	Left_Ovary	left ovary
Small_intestine	Intestine_Small_Intestine_MMHCC	small intestine
Simple_squamous_epithelium	Simple_Squamous_Epithelium	simple squamous epithelium
Segmental_bronchus	Segmental_Bronchus	tertiary bronchus
Teres_minor	Teres_Minor_Muscle	teres minor muscle
Plantar_part_of_foot	Plantar_Region	plantar region
Nuclear_inclusion	Nuclear_Inclusion	nuclear inclusion
Head_of_rib	Rib_Head	rib head
Chondroitin_sulfate	Chondroitin_Sulfate	chondroitin sulfate
Posterior_cranial_fossa	Posterior_Fossa	posterior cranial fossa
Renal_corpuscle	Renal_Corpuscle	renal corpuscle
Fetal_heart	Fetal_Heart	fetal heart
Superior_mesenteric_vein	Superior_Mesenteric_Vein	superior mesenteric vein
Multipolar_neuron	Multipolar_Neuron	multipolar neuron
Neck_of_femur	Femoral_Neck	neck of femur
Trophoblast_cell	Trophoblastic_Cell	trophoblastic cell
Cell_adhesion_molecule	Cell_Adhesion_Molecule	cell adhesion molecule
Basaloid_cell	Basaloid_Cell	basaloid cell
Monocyte_chemoattractant_protein_3	Small_Inducible_Cytokine-A7	monocyte chemoattractant protein iii
Common_cardinal_vein	Common_Cardinal_Vein	common cardinal vein
Left_suprarenal_vein	Left_Suprarenal_Vein	left suprarenal vein
Transverse_fold_of_rectum	Transverse_Rectal_Fold	transverse rectal fold
Celiac_ganglion	Coeliac_Ganglion	celiac ganglion
Pluripotent_stem_cell	Pluripotent_Stem_Cell	pluripotent stem cell
Lymphatic_capillary	Lymphatic_Capillary	lymphatic capillary
Endosteal_cell	Endosteal_Cell	endosteal cell
Thoracic_duct	Thoracic_Duct	thoracic duct
Nasal_bone	Nasal_Bone	nasal bone
Pyloric_gland	Pyloric_Gland	pyloric gland
Auditory_cortex	Auditory_Cortex	auditory cortex
Neural_stem_cell	Neural_Stem_Cell	neural stem cell
Pericallosal_artery	Pericallosal_Artery	pericallosal artery
Maxillary_artery	Maxillary_Artery	maxillary artery
Right_ureter	Right_Ureter	right ureter
Parasympathetic_ganglion	Parasympathetic_Ganglion	parasympathetic ganglion
Rectus_abdominis	Rectus_Abdominis	rectus abdominis
Cuboid_bone	Cuboid_Bone	cuboid bone
Beta_cell	Beta_Cell	beta cell
Seminal_fluid	Seminal_Fluid	seminal fluid
Flat_bone	Flat_Bone	flat bone
Stratified_squamous_epithelium	Stratified_Squamous_Epithelium	stratified squamous epithelium
Intervertebral_disk	Intervertebral_Disc	intervertebral disc
Set_of_bronchioles	Bronchiole	bronchioles
Bronchial_vein	Bronchial_Vein	bronchial vein
Lower_gastrointestinal_tract	Lower_Gastrointestinal_Tract	lower gastrointestinal tract
Hepatic_sinusoid	Hepatic_Sinusoid	hepatic sinusoid
Peripheral_blood_cell	Peripheral_Blood_Cell	peripheral blood cell
Third_thoracic_vertebra	T3_Vertebra	thoracic iii vertebra
Transverse_plane	Transverse_Plane	transverse plane
Set_of_phalanges_of_foot	Foot_Phalanx	phalanges of foot
Anterior_cruciate_ligament	Anterior_Cruciate_Ligament	anterior cruciate ligament
Septum_primum	Septum_Primum	septum primum
Common_palmar_digital_artery	Common_Palmar_Digital_Artery	common palmar digital artery
Olfactory_bulb	Olfactory_Bulb	olfactory bulb
Glans_penis	Glans_Penis	glans penis
Neural_crest	Neural_Crest	neural crest
Intermediate_trophoblast_cell	Intermediate_Trophoblast	intermediate type trophoblastic cell
Latissimus_dorsi	Musculus_Latissimus_Dorsi	musculus latissimus dorsi
Heparan_sulfate	Heparan_Sulfate	heparan sulfate
Temporal_vein	Temporal_Vein	temporal vein
Neurilemma	Sheath_of_Schwann	sheath of schwann
Secretory_granule	Secretory_Granule	secretory granule
Intermediate_filament	Intermediate_Filament	intermediate filament
Cytoplasmic_inclusion	Cytoplasmic_Inclusion	cytoplasmic inclusion
Superior_rectal_artery	Superior_Hemorrhoidal_Artery	superior hemorrhoidal artery
Eccrine_sweat_gland	Eccrine_Sweat_Gland	eccrine sweat gland
Vertebral_artery	Vertebral_Artery	vertebral artery
Septum_secundum	Septum_Secundum	septum secundum
